ticket_id,feedback_id,category,confidence,title,description,priority,severity,technical_details,feature_details,suggested_actions,quality_score,quality_notes,quality_status,revision_count,created_at,updated_at
TKT-20260325-040,96,Feature Request,0.99,[Feature Request] Add CSV import for bulk task creation,"Summary
The user is requesting CSV import support to create many tasks at once during migration from another tool. This would significantly reduce manual setup time and improve onboarding for users with large existing task lists.

User Need
Users migrating to TaskPro from other tools may already have hundreds of tasks stored in CSV format and need an efficient way to bring that data into the app. Without CSV import, they must recreate tasks manually, creating major friction during onboarding and increasing the time required to adopt TaskPro.

Proposed Solution
Add CSV import for bulk task creation, with a defined import schema for common task fields and a guided import flow that helps users map columns and identify validation errors before completion. Consider supporting core fields first, such as task title, description, due date, priority, and status, then expand based on usage and migration needs.

Impact Assessment
This request appears to have high impact because it directly affects migration effort, onboarding speed, and willingness to adopt TaskPro for users with large existing task lists. Demand signal is strong based on the explicit request, the scale of data involved, and the clear time savings described by the user.",High,,,"{""feature_name"":""CSV Task Import"",""description"":""The user wants the ability to import tasks from CSV files to create many tasks at once. This would significantly reduce manual effort during migration from another tool and make onboarding easier for users with large existing task lists."",""user_impact"":""High"",""demand_signal"":""Strong"",""existing_alternatives"":""Current workaround is manual task entry; no other alternative was mentioned."",""source"":""support_email / E015""}","[""Validate demand by checking for similar migration and bulk import requests"",""Define CSV schema and import flow for task fields and error handling"",""Assess implementation scope for mobile and backend support for bulk task creation""]",8.0,"Well-structured feature ticket with a clear title, strong articulation of the user need, and a plausible proposed solution grounded in the original feedback. Priority may be slightly overstated relative to the single low-priority request, and the ticket would be stronger with clearer evidence of breadth of demand or product rationale for assigning High priority.",approved,0,2026-03-25 05:41:16,2026-03-25 05:41:21
TKT-20260325-039,95,Bug,0.98,[Bug] Deadline notifications delayed by 2-3 hours,"Summary
Users report that TaskPro deadline notifications on Android are consistently delivered 2–3 hours after the configured reminder time, despite notifications being enabled and battery optimization being disabled. This delay has caused missed important deadlines.

Steps to Reproduce
1. Install and open TaskPro version 3.2.1 on a OnePlus 12 running Android 14.
2. Enable deadline notifications in the app and ensure system notifications are allowed.
3. Confirm battery optimization is disabled for TaskPro.
4. Create or edit a task with a deadline reminder set for a specific time.
5. Wait until the scheduled reminder time passes.
6. Observe that the notification arrives 2–3 hours after the configured deadline/reminder time.

Expected Behavior
Deadline notifications should arrive at the scheduled reminder or deadline time.

Actual Behavior
Deadline notifications consistently arrive 2–3 hours late, causing users to miss deadlines.

Environment
- Device: OnePlus 12
- OS: Android 14
- App Version: 3.2.1
- Source: support_email / E014",High,Major,"{""affected_component"":""Notifications"",""platform_details"":{""device"":""OnePlus 12"",""os"":""Android 14"",""app_version"":""3.2.1""},""reported_pattern"":""Consistent 2-3 hour delay in deadline notification delivery"",""user_validations"":[""System notifications enabled"",""Battery optimization disabled""],""suspected_areas"":[""Notification scheduling"",""Time handling/timezone logic"",""Alarm/worker execution on Android 14"",""OEM background restrictions on OnePlus devices""]}",,"[""Investigate notification scheduling and time handling on Android 14, especially for OnePlus devices."",""Review alarm/worker execution logic for timezone, Doze, and OEM background restrictions despite battery optimization being disabled."",""Attempt reproduction on a OnePlus 12 with app version 3.2.1 and collect notification delivery logs.""]",9.0,"Strong bug ticket with a clear, correctly prefixed title, solid environment details, and actionable reproduction steps that align well with the original feedback. Minor gap: the repro steps infer task creation and waiting behavior not explicitly stated by the user, so adding any exact reminder configuration or frequency data from logs would make it even stronger.",approved,0,2026-03-25 05:40:54,2026-03-25 05:40:59
TKT-20260325-038,94,Complaint,0.97,[Complaint] Mobile app lacks parity and feels subpar vs web,"Summary
The user reports strong dissatisfaction with the mobile app compared with the web experience, citing missing features, a cluttered interface, and poor perceived product quality. They also highlight that the current subscription price creates an expectation of better platform parity.

Issue Description
- The mobile app is described as significantly worse than the web version.
- Key features appear to be missing on mobile.
- The mobile UI is perceived as cluttered.
- The user feels the mobile experience was treated as an afterthought.
- The complaint is amplified by the $9.99/month subscription cost and expectation of consistency across platforms.

User Impact
- Reduced satisfaction and trust in the product’s cross-platform experience.
- Users may avoid or abandon the mobile app due to perceived lower usability and incomplete functionality.
- Subscription value perception is negatively affected, increasing churn risk.

Suggested Resolution
- Review feature parity gaps between web and mobile and prioritize the most visible missing capabilities.
- Conduct a UX assessment of the mobile interface to identify clutter and simplify core workflows.
- Align mobile roadmap and messaging with user expectations for paid subscriptions.
- Consider communicating planned parity improvements to affected users.",Medium,,,,"[""Audit web vs mobile feature parity gaps"",""Review mobile UX for clutter and workflow friction"",""Assess churn/value perception risk for paid mobile users"",""Communicate roadmap or parity improvements to users""]",8.0,"Strong ticket that accurately reflects the original complaint and clearly captures the user impact and likely follow-up areas. To improve further, it should identify specific missing mobile features or workflows and clarify whether Medium priority is based on broader trend data versus this single low-priority complaint.",approved,0,2026-03-25 05:40:34,2026-03-25 05:40:38
TKT-20260325-037,93,Feature Request,0.98,[Feature Request] Add manager dashboard for team-wide progress,"Summary
The user is requesting a manager dashboard that provides a centralized view of all team members’ task progress. Their team of 15 currently has to open each individual board separately, creating unnecessary overhead for managers.

User Need
Managers overseeing multiple team members need a single place to monitor task progress across the team at a glance. The current workflow of checking each person’s board individually is time-consuming and does not scale well for larger teams.

Proposed Solution
Add a manager progress dashboard that summarizes task status and progress across all team members in one view. The dashboard should support high-level progress summaries, filters, and drill-down into individual team members’ work so managers can quickly identify status and follow up where needed.

Impact Assessment
This request appears to have high impact because it addresses a clear efficiency pain point for team management and is coming from a team using TaskPro across 15 users. Demand signal is strong based on the explicit request, the team-management context, and the significant time cost of the current workaround.",High,,,"{""feature_name"":""Manager Progress Dashboard"",""description"":""The user wants a centralized dashboard that lets managers view all team members' task progress in one place. This would remove the need to open each individual board separately and save significant time for teams managing multiple users."",""user_impact"":""High"",""demand_signal"":""Strong"",""existing_alternatives"":""Current workaround is checking each person's board individually."",""source"":""support_email / E012"",""team_size"":15}","[""Validate demand with other team and manager-related feedback for dashboard visibility needs"",""Define dashboard requirements such as progress summaries, filters, and team member drill-down"",""Assess feasibility for a team-wide overview in the mobile app and estimate implementation effort""]",9.0,"Strong feature ticket with a clear, correctly prefixed title, solid user context, and a well-articulated need and proposed solution aligned to the original feedback. Priority is slightly overstated versus the source's medium hint, but the impact rationale is reasonable and the ticket is actionable for backlog intake.",approved,0,2026-03-25 05:40:18,2026-03-25 05:40:22
TKT-20260325-036,92,Bug,0.99,[Bug] App freezes creating task with due date on Android 14,"Summary
The app becomes unresponsive for 15–20 seconds whenever the user creates a new task with a due date. The issue occurs consistently on a Google Pixel 7a running Android 14 in TaskPro version 3.2.0 and requires force closing the app.

Steps to Reproduce
1. Open TaskPro on a Google Pixel 7a running Android 14.
2. Start creating a new task.
3. Add or select a due date for the task.
4. Attempt to save or continue creating the task.
5. Observe the app freezing for 15–20 seconds and requiring a force close.

Expected Behavior
Creating a new task with a due date should complete smoothly without freezing, and the app should remain responsive.

Actual Behavior
The app consistently freezes for about 15–20 seconds when creating a new task with a due date, and the user must force close and reopen the app.

Environment
- Device: Google Pixel 7a
- OS: Android 14
- App Version: 3.2.0
- Source: support_email / E011",High,Major,"{""affected_component"":""Tasks"",""platform_details"":{""device"":""Google Pixel 7a"",""os"":""Android 14"",""app_version"":""3.2.0""}}",,"[""Reproduce the issue on a Google Pixel 7a with Android 14 using app version 3.2.0."",""Investigate task creation and due date picker logic for UI thread blocking or performance regressions."",""Review crash, ANR, and performance logs around task save flow to identify the freeze source.""]",9.0,"Strong bug ticket: the title is clear and correctly prefixed, and the description includes expected/actual behavior, repro steps, and environment that align closely with the original feedback. Priority is reasonable for a consistent app-freeze issue, though the added repro detail goes slightly beyond the raw report and could be validated during triage.",approved,0,2026-03-25 05:39:57,2026-03-25 05:40:02
TKT-20260325-035,91,Spam,0.99,[Spam] Partnership solicitation promotional outreach,"Summary
This submission is unsolicited partnership and promotional outreach rather than genuine user feedback about TaskPro.

Reason for Classification
- The message promotes an external business opportunity and directs recipients to an external website.
- It does not describe any product issue, feature request, user experience, or app-related concern.
- The content is irrelevant to TaskPro product quality and support workflows.",Low,,,,"[""Mark as spam and exclude from product triage"",""Do not route to engineering or product teams"",""Block or filter similar partnership solicitation emails if repeated""]",9.0,"Well-formed spam ticket: the title is clear, the description accurately explains why the message is non-product-related, and the low priority is appropriate. Minor improvement would be to include the original sender/subject in the description for easier auditability, but this is ready for the backlog workflow.",approved,0,2026-03-25 05:39:39,2026-03-25 05:39:43
TKT-20260325-034,90,Bug,0.98,[Bug] Tasks not syncing between iPhone app and web app,"Summary
User reports that tasks created on an iPhone 15 running TaskPro 3.2.1 do not appear in the web app on Chrome/Windows 11, and tasks created in the web app do not appear on the phone. Sync reportedly worked until about a week ago, and logging out and back in on both devices did not resolve the issue.

Steps to Reproduce
1. Log in to TaskPro on an iPhone 15 running iOS 17.2 with app version 3.2.1.
2. Create a new task on the phone.
3. Log in to the TaskPro web app on a Windows 11 laptop using Chrome.
4. Check whether the newly created task appears on the web app.
5. Create a different task in the web app on the laptop.
6. Return to the phone app and check whether the web-created task appears there.

Expected Behavior
Tasks created on one device should sync and appear on the other device across mobile and web.

Actual Behavior
Tasks created on the iPhone do not appear on the laptop web app, and tasks created on the laptop do not appear on the iPhone.

Environment
- Mobile device: iPhone 15
- Mobile OS: iOS 17.2
- Mobile app version: 3.2.1
- Web environment: Chrome on Windows 11
- Troubleshooting already attempted: Logged out and back in on both devices
- Timing: Issue began approximately one week ago after previously working correctly",High,Major,"{""affected_component"":""Sync"",""platform_details"":{""device"":""iPhone 15 and laptop"",""os"":""iOS 17.2 and Windows 11"",""app_version"":""3.2.1 on phone, web app on Chrome""}}",,"[""Investigate sync service/backend changes from the past week for regressions affecting cross-platform task updates."",""Review client and server sync logs for iOS app version 3.2.1 and web sessions in Chrome on Windows 11."",""Attempt to reproduce using iPhone iOS 17.2 and web app on Chrome to confirm whether re-authentication or account state affects sync.""]",10.0,"Strong bug ticket that closely matches the original feedback and adds clear reproduction steps, expected vs. actual behavior, environment details, and reasonable technical next steps. Priority is appropriate for a cross-platform sync regression affecting core functionality, so this is ready for the backlog.",approved,0,2026-03-25 05:39:27,2026-03-25 05:39:31
TKT-20260325-033,89,Feature Request,0.99,[Feature Request] Provide API access for task data integrations,"Summary
The user is requesting API access so their company can integrate TaskPro task data with internal reporting tools. This request comes from an organization using TaskPro across 50+ employees and includes explicit willingness to upgrade to a higher plan for this capability.

User Need
Business and enterprise customers need a reliable way to access task data programmatically so they can connect TaskPro with internal reporting and analytics workflows. Without API access, teams must rely on manual processes or cannot incorporate TaskPro data into existing internal systems.

Proposed Solution
Provide API access for task data, starting with a scoped roadmap for read access to tasks and reporting-related data. Consider packaging API functionality within higher-tier or enterprise plans, and define roadmap communications for customers asking about API availability and timeline.

Impact Assessment
This feature appears to have high impact because it supports enterprise integration workflows, improves TaskPro's suitability for larger organizations, and may create upsell opportunities for higher-priced plans. Demand signal is strong based on the customer size, clear integration use case, and stated willingness to pay more for the feature.",High,,,"{""feature_name"":""Task Data API Access"",""description"":""The user wants TaskPro to provide API access so their company can integrate task data with internal reporting tools. This would support enterprise reporting workflows for a team of 50+ employees, and they indicate willingness to upgrade plans for this capability."",""user_impact"":""High"",""demand_signal"":""Strong"",""existing_alternatives"":""No specific workaround mentioned; currently they appear unable to integrate task data with internal reporting tools."",""source"":""support_email / E008""}","[""Validate demand for public API access across other business and enterprise accounts"",""Define API roadmap scope starting with read access to task and reporting data"",""Assess packaging this feature under higher-tier plans or enterprise pricing""]",9.0,"Strong feature ticket with a clear, correctly prefixed title and a well-structured description that captures the user need, business context, proposed direction, and impact. Priority is slightly overstated versus the original medium priority hint, but the enterprise use case and revenue potential make it still reasonable; only minor improvement would be to separate confirmed user feedback from inferred roadmap recommendations.",approved,0,2026-03-25 05:39:05,2026-03-25 05:39:09
TKT-20260325-032,88,Complaint,0.98,[Complaint] Duplicate monthly subscription charge request,"Summary
Customer reports being charged twice for the same monthly subscription on March 1st and requests an immediate refund for the duplicate charge.

Issue Description
The user states that two separate transactions were processed for the monthly subscription: TXN-9876 and TXN-9877, both for $9.99 on March 1st. The customer notes they have been subscribed for 2 years and describes the experience as disappointing.

User Impact
The customer incurred an unexpected duplicate billing charge totaling an extra $9.99 and is expressing frustration, which may affect retention and trust.

Suggested Resolution
Review the billing records for the listed transactions, confirm whether a duplicate charge occurred, issue a refund for the duplicate transaction if validated, and communicate the resolution promptly to the customer.",High,,,,"[""Verify both transaction IDs in billing system"",""Confirm whether duplicate subscription charge was processed"",""Issue refund for duplicate $9.99 charge if confirmed"",""Notify customer of refund status and expected timeline"",""Review account for any recurring billing anomalies""]",9.0,"Ticket closely matches the original feedback and is clear, specific, and actionable. Minor gap: it lacks explicit account/environment identifiers beyond transaction IDs, but it contains enough billing context for support or engineering to begin investigation immediately.",approved,0,2026-03-25 05:38:44,2026-03-25 05:38:48
TKT-20260325-031,87,Praise,0.99,[Praise] Positive feedback for support agent Maria,"Summary
The user expressed appreciation for support agent Maria after she helped resolve a sync issue the previous week. The feedback highlights the quality of TaskPro's support experience and praises the broader team.

Key Positive Points
- Maria was described as incredibly patient.
- Maria was described as knowledgeable.
- The user thanked the team for successfully helping resolve the issue.
- The user stated that TaskPro has a great team.

Areas Highlighted
- Support agent professionalism
- Helpfulness during issue resolution
- Positive customer service experience
- Team reputation and trust",Low,,,,"[""Share positive feedback with Maria and the support team"",""Log as customer praise for support quality tracking""]",9.0,"Strong ticket for a praise item: the title is clear, the description accurately captures the original feedback, and the low priority fits the non-actionable nature of the submission. Minor deduction only because it is not directly engineer-actionable in the usual backlog sense, though the suggested follow-up actions are appropriate.",approved,0,2026-03-25 05:38:30,2026-03-25 05:38:34
